epoch,binary_accuracy,binary_iou,dice_coefficient,loss,val_binary_accuracy,val_binary_iou,val_dice_coefficient,val_loss,learning_rate
1,0.9573246836662292,0.8025945425033569,0.8704928755760193,0.8623587489128113,0.13825711607933044,0.06232269108295441,0.11637799441814423,5.100637435913086,0.0010000000474974513
2,0.9938981533050537,0.9135567545890808,0.9545939564704895,0.5169707536697388,0.3496551513671875,3.431682489463128e-05,6.27478730166331e-05,3.063636541366577,0.0010000000474974513
3,0.9946970343589783,0.9236424565315247,0.9601263403892517,0.3209158182144165,0.6851532459259033,0.06803180277347565,0.12551182508468628,1.6837981939315796,0.0010000000474974513
4,0.9954482913017273,0.9341433644294739,0.9658231139183044,0.19821706414222717,0.8243501782417297,0.15912841260433197,0.267618864774704,1.1448231935501099,0.0010000000474974513
5,0.9957709908485413,0.938240110874176,0.9680495858192444,0.13592258095741272,0.950954794883728,0.26131731271743774,0.3909356892108917,0.9472704529762268,0.0010000000474974513
6,0.9958515167236328,0.9397462010383606,0.9688442945480347,0.10393057018518448,0.9796600341796875,0.6898975968360901,0.8117380142211914,0.34933650493621826,0.0010000000474974513
7,0.9959539771080017,0.9405732154846191,0.969284176826477,0.08607868105173111,0.9791672229766846,0.6654834747314453,0.791351854801178,0.34952375292778015,0.0010000000474974513
8,0.9963936805725098,0.9468272924423218,0.9726142883300781,0.07115818560123444,0.9825294017791748,0.7124062180519104,0.8286285996437073,0.28065621852874756,0.0010000000474974513
9,0.9957374334335327,0.9376886487007141,0.9676939249038696,0.07055851072072983,0.8693348169326782,0.36900269985198975,0.5292577147483826,1.173414707183838,0.0010000000474974513
10,0.996453583240509,0.947819709777832,0.9731454849243164,0.05851997807621956,0.9939637780189514,0.9149383902549744,0.9555151462554932,0.08502377569675446,0.0010000000474974513
11,0.9964068531990051,0.9477386474609375,0.9730767011642456,0.05581340938806534,0.9954851269721985,0.9348707795143127,0.9662458300590515,0.07713543623685837,0.0010000000474974513
12,0.9967854619026184,0.9528083205223083,0.9757875204086304,0.04896547645330429,0.9925453662872314,0.8837384581565857,0.9381008148193359,0.1030128225684166,0.0010000000474974513
13,0.9968532919883728,0.9539839625358582,0.9764087796211243,0.04616536945104599,0.9964647889137268,0.9454719424247742,0.9718896746635437,0.05581163242459297,0.0010000000474974513
14,0.9968640208244324,0.953960657119751,0.9763767123222351,0.04480062052607536,0.9940195679664612,0.9139329791069031,0.9548936486244202,0.07892051339149475,0.0010000000474974513
15,0.9962413907051086,0.945350170135498,0.9717739820480347,0.05010524019598961,0.9939661622047424,0.9136292934417725,0.9547048807144165,0.07595033198595047,0.0010000000474974513
16,0.9971147775650024,0.9577757716178894,0.9784003496170044,0.03978594392538071,0.9958406090736389,0.9349821209907532,0.966343104839325,0.05684807151556015,0.0010000000474974513
17,0.9973812103271484,0.9611580967903137,0.9801632165908813,0.03604009374976158,0.996890664100647,0.9522257447242737,0.9754739999771118,0.045171741396188736,0.0005000000237487257
18,0.9973190426826477,0.9604041576385498,0.979760468006134,0.03640861064195633,0.9960451722145081,0.9420839548110962,0.9700942635536194,0.05266271531581879,0.0005000000237487257
19,0.9973870515823364,0.9609358310699463,0.9800339341163635,0.035536255687475204,0.9969173669815063,0.9535133838653564,0.9761409163475037,0.04323143884539604,0.0005000000237487257
20,0.9975361227989197,0.9633052945137024,0.9812872409820557,0.03316010907292366,0.9970040917396545,0.9541453719139099,0.9764845371246338,0.04116584733128548,0.0005000000237487257
21,0.9976094365119934,0.9647049903869629,0.9820103645324707,0.03220740333199501,0.997344970703125,0.9586477279663086,0.9788332581520081,0.03844597563147545,0.0005000000237487257
22,0.9975829124450684,0.9649331569671631,0.9821231961250305,0.031934719532728195,0.9972516894340515,0.9577626585960388,0.9783771634101868,0.03895663842558861,0.0005000000237487257
23,0.9976922869682312,0.9659777879714966,0.9826782941818237,0.030640751123428345,0.996802568435669,0.951545000076294,0.9751148819923401,0.0423290841281414,0.0005000000237487257
24,0.9976574182510376,0.9651639461517334,0.9822438359260559,0.030958469957113266,0.997463583946228,0.959696352481842,0.9793931841850281,0.03604844585061073,0.0005000000237487257
25,0.9977454543113708,0.9664380550384521,0.9829133749008179,0.02954668179154396,0.9968081116676331,0.9518646001815796,0.9752907156944275,0.04244837537407875,0.0005000000237487257
